iteration,episode,action,reward,carol_help_alice_regret,carol_decline_alice_regret,carol_reciprocate_alice_regret
380,38,carol_decline_alice,0.1000,37.5319,-104.2875,51.6172
381,39,carol_decline_alice,0.1000,37.7794,-104.2875,51.9119
382,39,carol_decline_alice,0.1000,38.0269,-104.2875,52.2067
383,39,carol_help_alice,0.2000,38.0269,-104.4954,52.4015
384,39,carol_help_alice,0.2000,38.0269,-104.7034,52.5963
385,39,carol_reciprocate_alice,0.2000,38.1721,-104.9113,52.5963
386,39,carol_decline_alice,0.1000,38.4173,-104.9113,52.8896
387,39,carol_help_alice,0.2000,38.4173,-105.1184,53.0829
388,39,carol_decline_alice,0.1000,38.6613,-105.1184,53.3763
389,39,carol_help_alice,0.2000,38.6613,-105.3247,53.5696
390,39,carol_decline_alice,-0.3000,39.3041,-105.3247,54.2629
391,40,carol_reciprocate_alice,0.2000,39.4470,-105.5332,54.2629
392,40,carol_help_alice,0.2000,39.4470,-105.7417,54.4549
393,40,carol_help_alice,0.6000,39.4470,-106.3502,54.2468
394,40,carol_help_alice,0.2000,39.4470,-106.5588,54.4387
395,40,carol_help_alice,0.2000,39.4470,-106.7673,54.6306
