iteration,episode,person,action,reward,alice_help_bob,alice_decline_bob,alice_delay_bob,alice_help_carol,alice_decline_carol,alice_teach_carol,alice_help_dave,alice_decline_dave,alice_suggest_dave
135,5,carol,alice_teach_carol,-0.0520,-6.8360,-6.7505,11.2187,-6.1085,7.0637,-4.8126,11.5078,-10.3619,-10.5850
136,5,carol,alice_decline_carol,0.5480,-6.8360,-6.7505,11.2187,-6.5567,7.0637,-5.1513,11.5078,-10.3619,-10.5850
137,5,carol,alice_decline_carol,-0.0520,-6.8360,-6.7505,11.2187,-6.9838,7.0637,-5.4689,11.5078,-10.3619,-10.5850
138,5,carol,alice_help_carol,0.1440,-6.8360,-6.7505,11.2187,-6.9838,7.4764,-5.3738,11.5078,-10.3619,-10.5850
139,5,carol,alice_teach_carol,-0.0560,-6.8360,-6.7505,11.2187,-7.0713,7.8016,-5.3738,11.5078,-10.3619,-10.5850
140,5,carol,alice_help_carol,-0.3600,-6.8360,-6.7505,11.2187,-7.0713,8.2354,-5.2653,11.5078,-10.3619,-10.5850
141,5,dave,alice_suggest_dave,0.6000,-6.8360,-6.7505,11.2187,-7.0713,8.2354,-5.2653,11.8702,-10.4835,-10.5850
142,5,dave,alice_decline_dave,0.1000,-6.8360,-6.7505,11.2187,-7.0713,8.2354,-5.2653,12.3512,-10.4835,-10.4665
143,5,dave,alice_suggest_dave,0.6000,-6.8360,-6.7505,11.2187,-7.0713,8.2354,-5.2653,12.6815,-10.6343,-10.4665
144,5,dave,alice_suggest_dave,-0.2000,-6.8360,-6.7505,11.2187,-7.0713,8.2354,-5.2653,13.0413,-10.7555,-10.4665
145,5,dave,alice_suggest_dave,0.6000,-6.8360,-6.7505,11.2187,-7.0713,8.2354,-5.2653,13.3735,-10.9045,-10.4665
146,5,dave,alice_suggest_dave,-0.2000,-6.8360,-6.7505,11.2187,-7.0713,8.2354,-5.2653,13.7313,-11.0276,-10.4665
147,5,dave,alice_decline_dave,0.1000,-6.8360,-6.7505,11.2187,-7.0713,8.2354,-5.2653,14.2097,-11.0276,-10.3459
148,5,dave,alice_suggest_dave,-0.2000,-6.8360,-6.7505,11.2187,-7.0713,8.2354,-5.2653,14.5903,-11.1254,-10.3459
149,5,dave,alice_suggest_dave,0.6000,-6.8360,-6.7505,11.2187,-7.0713,8.2354,-5.2653,14.9467,-11.2475,-10.3459
150,5,dave,alice_help_dave,0.9000,-6.8360,-6.7505,11.2187,-7.0713,8.2354,-5.2653,14.9467,-11.7457,-10.7220
151,6,bob,alice_decline_bob,0.0220,-6.7763,-6.7505,11.5242,-7.0713,8.2354,-5.2653,14.9467,-11.7457,-10.7220
152,6,bob,alice_delay_bob,0.5220,-7.0305,-7.0643,11.5242,-7.0713,8.2354,-5.2653,14.9467,-11.7457,-10.7220
153,6,bob,alice_help_bob,0.4488,-7.0305,-7.1507,11.7516,-7.0713,8.2354,-5.2653,14.9467,-11.7457,-10.7220
154,6,bob,alice_help_bob,0.4851,-7.0305,-7.2626,11.9536,-7.0713,8.2354,-5.2653,14.9467,-11.7457,-10.7220
155,6,bob,alice_help_bob,0.4640,-7.0305,-7.3951,12.1348,-7.0713,8.2354,-5.2653,14.9467,-11.7457,-10.7220
156,6,bob,alice_help_bob,0.4450,-7.0305,-7.5445,12.2992,-7.0713,8.2354,-5.2653,14.9467,-11.7457,-10.7220
157,6,bob,alice_decline_bob,0.0200,-6.8799,-7.5445,12.6141,-7.0713,8.2354,-5.2653,14.9467,-11.7457,-10.7220
158,6,bob,alice_decline_bob,0.0200,-6.7284,-7.5445,12.9300,-7.0713,8.2354,-5.2653,14.9467,-11.7457,-10.7220
159,6,bob,alice_delay_bob,-0.2800,-6.8638,-7.8315,12.9300,-7.0713,8.2354,-5.2653,14.9467,-11.7457,-10.7220
160,6,bob,alice_help_bob,0.4771,-6.8638,-7.9999,13.0487,-7.0713,8.2354,-5.2653,14.9467,-11.7457,-10.7220
161,6,carol,alice_help_carol,0.1360,-6.8638,-7.9999,13.0487,-7.0713,8.6565,-5.1695,14.9467,-11.7457,-10.7220
162,6,carol,alice_decline_carol,0.5360,-6.8638,-7.9999,13.0487,-7.5000,8.6565,-5.5023,14.9467,-11.7457,-10.7220
163,6,carol,alice_decline_carol,-0.0640,-6.8638,-7.9999,13.0487,-7.9096,8.6565,-5.8160,14.9467,-11.7457,-10.7220
164,6,carol,alice_teach_carol,-0.0640,-6.8638,-7.9999,13.0487,-7.9984,8.9774,-5.8160,14.9467,-11.7457,-10.7220
165,6,carol,alice_help_carol,0.1320,-6.8638,-7.9999,13.0487,-7.9984,9.3761,-5.7382,14.9467,-11.7457,-10.7220
166,6,carol,alice_teach_carol,-0.0680,-6.8638,-7.9999,13.0487,-8.0698,9.7035,-5.7382,14.9467,-11.7457,-10.7220
167,6,carol,alice_help_carol,-0.3720,-6.8638,-7.9999,13.0487,-8.0698,10.1206,-5.6484,14.9467,-11.7457,-10.7220
168,6,carol,alice_teach_carol,-0.0720,-6.8638,-7.9999,13.0487,-8.1535,10.4539,-5.6484,14.9467,-11.7457,-10.7220
169,6,carol,alice_help_carol,0.1240,-6.8638,-7.9999,13.0487,-8.1535,10.8613,-5.5744,14.9467,-11.7457,-10.7220
170,6,carol,alice_help_carol,-0.3800,-6.8638,-7.9999,13.0487,-8.1535,11.2852,-5.4838,14.9467,-11.7457,-10.7220
171,6,dave,alice_decline_dave,0.1000,-6.8638,-7.9999,13.0487,-8.1535,11.2852,-5.4838,15.4426,-11.7457,-10.6022
172,6,dave,alice_decline_dave,0.1000,-6.8638,-7.9999,13.0487,-8.1535,11.2852,-5.4838,15.9364,-11.7457,-10.4845
173,6,dave,alice_decline_dave,0.1000,-6.8638,-7.9999,13.0487,-8.1535,11.2852,-5.4838,16.4286,-11.7457,-10.3685
174,6,dave,alice_decline_dave,0.1000,-6.8638,-7.9999,13.0487,-8.1535,11.2852,-5.4838,16.9191,-11.7457,-10.2540
175,6,dave,alice_decline_dave,0.1000,-6.8638,-7.9999,13.0487,-8.1535,11.2852,-5.4838,17.4083,-11.7457,-10.1410
176,6,dave,alice_suggest_dave,-0.2000,-6.8638,-7.9999,13.0487,-8.1535,11.2852,-5.4838,17.8048,-11.8383,-10.1410
177,6,dave,alice_help_dave,0.8644,-6.8638,-7.9999,13.0487,-8.1535,11.2852,-5.4838,17.8048,-12.3433,-10.5533
178,6,dave,alice_suggest_dave,0.5960,-6.8638,-7.9999,13.0487,-8.1535,11.2852,-5.4838,18.1957,-12.4573,-10.5533
