iteration,episode,action,reward,carol_help_regret,carol_decline_regret,carol_reciprocate_regret
424,43,help,0.2000,39.9354,-109.7221,42.6669
425,43,reciprocate,0.2000,40.1034,-109.9260,42.6669
426,43,decline,-0.3000,40.7714,-109.9260,43.3294
427,43,decline,-0.3000,41.4394,-109.9260,43.9919
428,43,reciprocate,0.5000,41.3074,-110.4342,43.9919
429,43,decline,0.1000,41.5754,-110.4342,44.2554
430,43,decline,0.1000,41.8434,-110.4342,44.5188
431,44,help,0.6000,41.8434,-111.0409,44.2823
432,44,decline,0.1000,42.1129,-111.0409,44.5457
433,44,help,0.6000,42.1129,-111.6468,44.3092
434,44,help,0.2000,42.1129,-111.8527,44.4726
435,44,decline,0.1000,42.3829,-111.8527,44.7361
436,44,help,0.2000,42.3829,-112.0578,44.8995
437,44,reciprocate,0.5000,42.2517,-112.5629,44.8995
438,44,help,0.6000,42.2517,-113.1680,44.6639
439,44,decline,0.1000,42.5220,-113.1680,44.9283
440,44,reciprocate,0.2000,42.6924,-113.3723,44.9283
441,45,decline,0.1000,42.9627,-113.3723,45.1916
442,45,reciprocate,0.2000,43.1330,-113.5759,45.1916
443,45,reciprocate,0.5000,43.0033,-114.0795,45.1916
444,45,decline,0.1000,43.2736,-114.0795,45.4546
445,45,decline,0.1000,43.5440,-114.0795,45.7177
446,45,help,0.2000,43.5440,-114.2817,45.8808
447,45,reciprocate,0.5000,43.4132,-114.7838,45.8808
448,45,decline,0.1000,43.6824,-114.7838,46.1448
449,45,decline,-0.3000,44.3517,-114.7838,46.8088
450,45,reciprocate,0.2000,44.5209,-114.9873,46.8088
451,46,reciprocate,0.2000,44.6901,-115.1908,46.8088
452,46,reciprocate,0.5000,44.5594,-115.6943,46.8088
453,46,decline,0.1000,44.8286,-115.6943,47.0716
454,46,reciprocate,0.2000,44.9978,-115.8970,47.0716
455,46,decline,0.1000,45.2670,-115.8970,47.3332
456,46,help,0.6000,45.2670,-116.4991,47.0949
457,46,reciprocate,0.5000,45.1377,-117.0012,47.0949
458,46,decline,0.1000,45.4084,-117.0012,47.3575
459,46,reciprocate,0.2000,45.5791,-117.2026,47.3575
460,46,help,0.6000,45.5791,-117.8039,47.1191
461,47,decline,-0.3000,46.2513,-117.8039,47.7806
462,47,help,0.2000,46.2513,-118.0073,47.9421
463,47,decline,0.1000,46.5224,-118.0073,48.2037
464,47,decline,0.1000,46.7934,-118.0073,48.4652
465,47,decline,0.1000,47.0645,-118.0073,48.7267
466,47,help,0.6000,47.0645,-118.6087,48.4883
467,47,help,0.2000,47.0645,-118.8100,48.6498
468,47,decline,0.1000,47.3359,-118.8100,48.9114
469,47,help,0.6000,47.3359,-119.4107,48.6729
470,47,reciprocate,0.5000,47.2088,-119.9113,48.6729
471,48,reciprocate,0.2000,47.3816,-120.1120,48.6729
472,48,reciprocate,0.5000,47.2545,-120.6126,48.6729
473,48,reciprocate,0.5000,47.1273,-121.1133,48.6729
474,48,decline,-0.3000,47.8001,-121.1133,49.3360
475,48,reciprocate,0.5000,47.6730,-121.6159,49.3360
476,48,reciprocate,0.2000,47.8458,-121.8186,49.3360
477,48,decline,0.1000,48.1187,-121.8186,49.5990
478,48,help,0.2000,48.1187,-122.0205,49.7620
479,48,decline,0.1000,48.3904,-122.0205,50.0249
