iteration,episode,person,action,reward,help_bob,decline_bob,delay_bob,help_alice,decline_alice,teach_alice,help_dave,decline_dave,suggest_dave
152,6,bob,help_bob,-0.4230,0.6393,-8.9656,7.7622,-11.2075,15.7494,-2.8001,7.3151,-14.3397,4.8408
153,6,bob,decline_bob,0.0020,0.6425,-8.9656,8.1206,-11.2075,15.7494,-2.8001,7.3151,-14.3397,4.8408
154,6,bob,help_bob,0.4040,0.6425,-8.9841,8.4604,-11.2075,15.7494,-2.8001,7.3151,-14.3397,4.8408
155,6,bob,delay_bob,0.5120,0.2930,-9.3522,8.4604,-11.2075,15.7494,-2.8001,7.3151,-14.3397,4.8408
156,6,bob,decline_bob,0.0120,0.3118,-9.3522,8.8289,-11.2075,15.7494,-2.8001,7.3151,-14.3397,4.8408
157,6,bob,decline_bob,0.0120,0.3311,-9.3522,9.1976,-11.2075,15.7494,-2.8001,7.3151,-14.3397,4.8408
158,6,bob,delay_bob,0.5120,-0.0269,-9.7293,9.1976,-11.2075,15.7494,-2.8001,7.3151,-14.3397,4.8408
159,6,bob,delay_bob,0.5120,-0.3921,-10.1138,9.1976,-11.2075,15.7494,-2.8001,7.3151,-14.3397,4.8408
160,6,bob,decline_bob,0.0120,-0.3726,-10.1138,9.5824,-11.2075,15.7494,-2.8001,7.3151,-14.3397,4.8408
161,6,carol,decline_alice,0.5660,-0.3726,-10.1138,9.5824,-11.6864,15.7494,-3.1499,7.3151,-14.3397,4.8408
162,6,carol,decline_alice,0.5660,-0.3726,-10.1138,9.5824,-12.1747,15.7494,-3.5091,7.3151,-14.3397,4.8408
163,6,carol,teach_alice,-0.0340,-0.3726,-10.1138,9.5824,-12.2981,16.1142,-3.5091,7.3151,-14.3397,4.8408
164,6,carol,teach_alice,0.4660,-0.3726,-10.1138,9.5824,-12.4429,16.4577,-3.5091,7.3151,-14.3397,4.8408
165,6,carol,teach_alice,-0.0340,-0.3726,-10.1138,9.5824,-12.5818,16.8070,-3.5091,7.3151,-14.3397,4.8408
166,6,carol,teach_alice,0.4660,-0.3726,-10.1138,9.5824,-12.7392,17.1379,-3.5091,7.3151,-14.3397,4.8408
167,6,carol,teach_alice,0.4660,-0.3726,-10.1138,9.5824,-12.9135,17.4518,-3.5091,7.3151,-14.3397,4.8408
168,6,carol,teach_alice,0.4660,-0.3726,-10.1138,9.5824,-13.1031,17.7504,-3.5091,7.3151,-14.3397,4.8408
169,6,carol,help_alice,-0.2480,-0.3726,-10.1138,9.5824,-13.1031,18.2480,-3.3102,7.3151,-14.3397,4.8408
170,6,carol,help_alice,0.2437,-0.3726,-10.1138,9.5824,-13.1031,18.7305,-3.1262,7.3151,-14.3397,4.8408
171,6,dave,decline_dave,0.1000,-0.3726,-10.1138,9.5824,-13.1031,18.7305,-3.1262,7.8972,-14.3397,5.1206
172,6,dave,suggest_dave,0.6000,-0.3726,-10.1138,9.5824,-13.1031,18.7305,-3.1262,8.1870,-14.6320,5.1206
173,6,dave,help_dave,0.0333,-0.3726,-10.1138,9.5824,-13.1031,18.7305,-3.1262,8.1870,-15.1792,4.8657
174,6,dave,decline_dave,0.1000,-0.3726,-10.1138,9.5824,-13.1031,18.7305,-3.1262,8.7330,-15.1792,5.1569
175,6,dave,decline_dave,0.1000,-0.3726,-10.1138,9.5824,-13.1031,18.7305,-3.1262,9.2780,-15.1792,5.4471
176,6,dave,decline_dave,0.1000,-0.3726,-10.1138,9.5824,-13.1031,18.7305,-3.1262,9.8221,-15.1792,5.7364
177,6,dave,suggest_dave,0.6000,-0.3726,-10.1138,9.5824,-13.1031,18.7305,-3.1262,10.0656,-15.4799,5.7364
